Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Slovenia,SVN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,48243.94175
Small states,SST,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,25554.41982
Solomon Islands,SLB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,2534.027563
Somalia,SOM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,1402.469921
South Africa,ZAF,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,13690.38946
South Asia,SAS,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,8439.404649
South Asia (IDA & IBRD),TSA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,8439.404649
South Korea,KOR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,50572.24999
South Sudan,SSD,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Spain,ESP,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,47141.54104
Sri Lanka,LKA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,13029.52394
St. Kitts and Nevis,KNA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,30409.40411
St. Lucia,LCA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,23403.46177
St. Martin (French part),MAF,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
St. Vincent and the Grenadines,VCT,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,18335.21208
Sub-Saharan Africa,SSF,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,4309.351459
Sub-Saharan Africa (excluding high income),SSA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,4306.96344
Sub-Saharan Africa (IDA & IBRD countries),TSS,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,4309.351459
Sudan,SDN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,2469.19458
Suriname,SUR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,19043.70529
Sweden,SWE,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,63114.67979
Switzerland,CHE,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,82557.55019
Syrian Arab Republic,SYR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Tajikistan,TJK,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,4472.324138
Tanzania,TZA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,3620.793457
Thailand,THA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,21142.66433
Timor-Leste,TLS,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,4328.50782
Togo,TGO,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,2767.516558
Tonga,TON,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Trinidad and Tobago,TTO,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,31705.83338
Tunisia,TUN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,12552.98669
